,appid,name
22,220,Half-Life 2
54,570,Dota 2
64,620,Portal 2
315,2870,X Rebirth
1564,8500,EVE Online
1795,12140,Max Payne
1845,12750,GRID
2176,20590,League of Legends
2291,22230,Rock of Ages
2423,24010,Train Simulator
2598,25000,Overgrowth
2725,28050,Deus Ex: Human Revolution
3415,40800,Super Meat Boy
3416,40809,Super Meat Boy
3590,43160,Metro: Last Light
3602,44350,GRID 2
3632,45760,Ultra Street Fighter IV
3768,48000,LIMBO
3988,55230,Saints Row: The Third
4301,65930,The Bureau: XCOM Declassified
4304,65980,Sid Meier's Civilization: Beyond Earth
4408,72740,Fallout New Vegas: Honest Hearts
6306,93200,Revenge of the Titans
6318,94400,Nidhogg
6406,99810,Bulletstorm
6511,107100,Bastion
6519,107410,Arma 3
6549,109600,Neverwinter
6607,115800,Owlboy
6725,201280,Deus Ex: Human Revolution - The Missing Link
6747,201810,Wolfenstein: The New Order
6784,202090,Magicka: Wizard Wars
6806,202270,Leviathan: Warships
6854,203160,Tomb Raider
6863,203250,Star Trek
6988,204450,Call of Juarez Gunslinger
7187,206420,Saints Row IV
7477,209000,Batman: Arkham Origins
7483,209160,Call of Duty: Ghosts
7520,209630,Magrunner: Dark Pulse
7521,209650,Call of Duty: Advanced Warfare
7692,210970,The Witness
7740,211820,Starbound
7871,213670,South Park: The Stick of Truth
7897,214490,Alien: Isolation
8039,215690,Zeno Clash 2
8086,216250,Dead Island Riptide
8167,217140,Rise of the Triad
8246,218620,PAYDAY 2
8250,218680,Scribblenauts Unlimited
8325,219990,Grim Dawn
8335,220200,Kerbal Space Program
8342,220440,DmC Devil May Cry
8349,220660,StarDrive
8414,221540,Defense Grid 2
8428,221910,The Stanley Parable
8638,222750,Wargame: AirLand Battle
8647,222880,Insurgency
8664,223100,Homefront: The Revolution
8709,223830,Xenonauts
8755,224480,Octodad: Dadliest Catch
8772,224740,Clockwork Empires
8786,225080,Brothers - A Tale of Two Sons
8799,225360,DARK
8809,225540,Just Cause 3
8842,226320,Marvel Heroes Omega
8882,226840,Age of Wonders III
8883,226860,Galactic Civilizations III
8956,228260,Fallen Enchantress: Legendary Heroes
8960,228360,Full Throttle Remastered
8961,228380,Wreckfest
9065,230840,Daylight
9088,231160,The Swapper
9098,231430,Company of Heroes 2
9146,231670,Football Manager 2014
9164,232430,Gone Home
9182,232750,Mars: War Logs
9199,233150,LUFTRAUSERS
9203,233250,Planetary Annihilation
9204,233270,Far Cry 3 Blood Dragon
9205,233290,MURDERED: SOUL SUSPECT
9213,233450,Prison Architect
9247,234140,Mad Max
9266,234530,War of the Vikings
9268,234630,Project CARS
9269,234650,Shadowrun Returns
9312,235210,Strider
