ID,name,steam_name
2,Empire of Sin,Empire of Sin
4,Immortals Fenyx Rising,Immortals Fenyx Rising
5,Destiny 2: Beyond Light Final,Destiny 2: Beyond Light
6,Dirt 5,Dirt 5
7,Godfall,Godfall
10,Bugsnax,Bugsnax
11,Assassin's Creed Valhalla,Assassin's Creed Valhalla
12,Yakuza: Like a Dragon,Yakuza: Like a Dragon
14,Watch Dogs: Legion,Watch Dogs Legion
16,Ghostrunner,Ghostrunner
18,Amnesia: Rebirth,Amnesia: Rebirth
20,Age of Empires 3: Definitive Edition,Age of Empires 3: Definitive Edition
21,Genshin Impact,Genshin Impact
25,Star Wars: Squadrons Multiplayer,Star Wars: Squadrons
26,Star Wars: Squadrons Single-Player,Star Wars: Squadrons
28,Paradise Killer,Paradise Killer
30,Serious Sam 4,Serious Sam 4
31,Mafia: Definitive Edition,Mafia: Definitive Edition
36,Hades,Hades
37,Oculus Quest 2,Oculus Quest 2
39,Spelunky 2,Spelunky 2
42,Iron Harvest Multiplayer,Iron Harvest
44,Iron Harvest Single-Player,Iron Harvest
46,Crusader Kings 3,Crusader Kings 3
47,Wasteland 3,Wasteland 3
49,Tell Me Why,Tell Me Why
54,Mortal Shell - Final,Mortal Shell
55,Spiritfarer,Spiritfarer
57,Microsoft Flight Simulator,Microsoft Flight Simulator
59,A Total War Saga: Troy,A Total War Saga: Troy
64,Necrobarista,Necrobarista
65,Othercide,Othercide
66,Carrion,Carrion
71,F1 2020,F1 2020
80,Desperados 3,Desperados 3
82,Valorant,Valorant
86,Crucible,Crucible
87,Minecraft Dungeons,Minecraft Dungeons
88,Maneater,Maneater
91,Deep Rock Galactic,Deep Rock Galactic
93,Legends of Runeterra,Legends of Runeterra
95,Super Mega Baseball 3,Super Mega Baseball 3
98,Streets of Rage 4,Streets of Rage 4
99,SnowRunner,SnowRunner
101,Gears Tactics,Gears Tactics
102,XCOM: Chimera Squad,XCOM: Chimera Squad
113,Doom Eternal Final,Doom Eternal
114,Doom Eternal Multiplayer,Doom Eternal
115,Half-Life: Alyx,Half-Life: Alyx
116,Call of Duty: Warzone,Call of Duty: Warzone
119,Doom Eternal Single-Player Campaign,Doom Eternal
120,Black Mesa,Black Mesa
121,Murder by Numbers,Murder by Numbers
123,Ori and the Will of the Wisps,Ori and the Will of the Wisps
124,Wolcen: Lords of Mayhem,Wolcen: Lords of Mayhem
125,Bleeding Edge,Bleeding Edge
127,Warcraft 3: Reforged,Warcraft 3: Reforged
130,Journey to the Savage Planet,Journey to the Savage Planet
132,Dragon Ball Z: Kakarot,Dragon Ball Z: Kakarot
137,Wattam,Wattam
140,Phoenix Point,Phoenix Point
143,Darksiders Genesis,Darksiders Genesis
145,Shenmue 3,Shenmue 3
147,Football Manager 2020,Football Manager 2020
149,Star Wars Jedi: Fallen Order,Star Wars Jedi: Fallen Order
150,Stormland,Stormland
151,Planet Zoo,Planet Zoo
152,Need for Speed Heat,Need for Speed Heat
154,Call of Duty: Modern Warfare Final,Call of Duty: Modern Warfare
155,Call of Duty: Modern Warfare Multiplayer,Call of Duty: Modern Warfare
157,Afterparty,Afterparty
158,Call of Duty: Modern Warfare - Single-Player,Call of Duty: Modern Warfare
162,The Outer Worlds,The Outer Worlds
163,Disco Elysium,Disco Elysium
167,John Wick Hex,John Wick Hex
168,Grid,GRID
169,Indivisible,Indivisible
171,eFootball PES 2020,eFootball PES 2020
172,Overland,Overland
173,Untitled Goose Game,Untitled Goose Game
174,FIFA 20,FIFA 20
176,GreedFall - Final,GreedFall
177,Gears 5 Final,Gears 5
178,Gears 5 Multiplayer,Gears 5
179,Borderlands 3,Borderlands 3
181,Gears 5 Campaign,Gears 5
182,Blair Witch,Blair Witch
184,Control,Control
185,Ancestors: The Humankind Odyssey,Ancestors: The Humankind Odyssey
186,Wreckfest,Wreckfest
187,Telling Lies,Telling Lies
188,Remnant: From the Ashes,Remnant: From the Ashes
189,RAD,Rad
193,Ion Fury,Ion Fury
194,Rebel Galaxy Outlaw,Rebel Galaxy Outlaw
195,Age of Wonders: Planetfall,Age of Wonders: Planetfall
197,Wolfenstein: Youngblood,Wolfenstein: Youngblood
201,Sea of Solitude,Sea of Solitude
203,Steel Division 2,Steel Division 2
204,Bloodstained: Ritual of the Night,Bloodstained: Ritual of the Night
205,The Sinking City,The Sinking City
208,My Friend Pedro,My Friend Pedro
214,Warhammer: Chaosbane,Warhammer: Chaosbane
215,Outer Wilds,Outer Wilds
218,Layers of Fear 2,Layers of Fear 2
219,Mordhau,Mordhau
220,Total War: Three Kingdoms,Total War: Three Kingdoms
221,Rage 2,Rage 2
225,Imperator: Rome,Imperator: Rome
226,World War Z,World War Z
227,Katana Zero,Katana Zero
228,Anno 1800,Anno 1800
229,Pathway,Pathway
230,Outward,Outward
231,Phoenix Wright: Ace Attorney Trilogy,Phoenix Wright: Ace Attorney Trilogy
235,Tropico 6,Tropico 6
238,Generation Zero,Generation Zero
239,The Walking Dead: The Final Season,The Walking Dead: The Final Season
240,Sekiro: Shadows Die Twice,Sekiro: Shadows Die Twice
242,The Division 2 - Final,The Division 2
244,The Occupation,The Occupation
246,Ape Out,Ape Out
249,Anthem,Anthem
250,Dirt Rally 2.0,Dirt Rally 2.0
251,Crackdown 3,Crackdown 3
252,Crackdown 3 Multiplayer,Crackdown 3
253,Crackdown 3 Campaign,Crackdown 3
254,Far Cry New Dawn,Far Cry New Dawn
255,Metro Exodus,Metro Exodus
256,Apex Legends: Final,Apex Legends
258,Wargroove,Wargroove
259,My Time at Portia,My Time At Portia
260,Slay the Spire,Slay the Spire
262,At the Gates,At the Gates
263,Resident Evil 2,Resident Evil 2
265,Onimusha: Warlords,Onimusha: Warlords
268,Insurgency: Sandstorm,Insurgency: Sandstorm
272,Gris,Gris
274,Artifact,Artifact
275,Katamari Damacy Reroll,Katamari Damacy Reroll
276,Ashen,Ashen
278,Mutant Year Zero: Road to Eden,Mutant Year Zero: Road to Eden
279,Just Cause 4,Just Cause 4
