ID,name,steam_name
2,Empire of Sin,Empire of Sin
5,Destiny 2: Beyond Light Final,Destiny 2: Beyond Light
6,Dirt 5,DIRT 5
9,Monster Truck Championship,Monster Truck Championship
12,Yakuza: Like a Dragon,Yakuza: Like a Dragon
13,The Dark Pictures Anthology: Little Hope,The Dark Pictures Anthology: Little Hope
16,Ghostrunner,Ghostrunner
18,Amnesia: Rebirth,Amnesia: Rebirth
19,Remothered: Broken Porcelain,Remothered: Broken Porcelain 
24,I Am Dead,Dead
25,Star Wars: Squadrons Multiplayer,STAR WARS: Squadrons
26,Star Wars: Squadrons Single-Player,STAR WARS: Squadrons
27,The Walking Dead: Onslaught,The Walking Dead Onslaught
28,Paradise Killer,Paradise Killer
29,Inertial Drift,Inertial Drift
30,Serious Sam 4,Serious Sam 4
31,Mafia: Definitive Edition,Mafia: Definitive Edition
32,WWE 2K Battlegrounds,WWE 2K BATTLEGROUNDS
33,eFootball PES 2021 Season Update,eFootball PES 2021 SEASON UPDATE
34,Spellbreak,Spellbreak
36,Hades,Hades
38,Hotshot Racing,Hotshot Racing
39,Spelunky 2,Spelunky 2
42,Iron Harvest Multiplayer,Iron Harvest
44,Iron Harvest Single-Player,Iron Harvest
45,Windbound,Windbound
47,Wasteland 3,Wasteland 3
49,Tell Me Why,Tell Me Why
50,Project CARS 3,Project CARS 3
51,Samurai Jack: Battle Through Time,Samurai Jack: Battle Through Time
52,PGA Tour 2K21,PGA TOUR 2K21
53,Peaky Blinders: Mastermind,Peaky Blinders: Mastermind
54,Mortal Shell - Final,Mortal Shell
55,Spiritfarer,Spiritfarer
56,Helheim Hassle,Helheim Hassle
57,Microsoft Flight Simulator,Microsoft Flight Simulator
60,Fast & Furious Crossroads,FAST & FURIOUS CROSSROADS
62,Hellpoint,Hellpoint
63,Fantasy Strike,Fantasy Strike
64,Necrobarista,Necrobarista
65,Othercide,Othercide
66,Carrion,CARRION
67,Destroy All Humans!,Destroy All Humans!
69,Panzer Paladin,Panzer Paladin
70,Sword Art Online: Alicization Lycoris,SWORD ART ONLINE Alicization Lycoris
71,F1 2020,F1 2020
72,Hunting Simulator 2,Hunting Simulator 2
77,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated,SpongeBob SquarePants: Battle for Bikini Bottom - Rehydrated
78,Disintegration Multiplayer,Disintegration
79,Waking,Waking
81,Disintegration Single-Player,Disintegration
83,The Elder Scrolls Online: Greymoor,The Elder Scrolls Online - Greymoor
84,Those Who Remain,Those Who Remain
88,Maneater,Maneater
91,Deep Rock Galactic,Deep Rock Galactic
92,TT Isle of Man: Ride on the Edge 2,TT Isle of Man - Ride on the Edge 2
94,The Wonderful 101: Remastered,The Wonderful 101: Remastered
95,Super Mega Baseball 3,Super Mega Baseball 3
96,Them's Fightin' Herds,Them's Fightin' Herds
97,Someday You'll Return,Someday You'll Return
98,Streets of Rage 4,Streets of Rage 4
101,Gears Tactics,Gears Tactics
102,XCOM: Chimera Squad,XCOM: Chimera Squad
