ID,name,steam_name
52,Crusader Kings 3,Crusader Kings 3
53,Iron Harvest,Iron Harvest Single-Player
55,Wasteland 3,Wasteland 3
60,Microsoft Flight Simulator,Microsoft Flight Simulator
64,Spiritfarer,Spiritfarer
65,Mortal Shell,Mortal Shell - Final
69,A Total War Saga: Troy,A Total War Saga: Troy
83,Clockwork Empires,Clockwork Empires
84,Titanfall 2,Titanfall 2 Final
85,Dark Souls 3: Ashes of Ariandel,Dark Souls 3: Ashes of Ariandel
87,Battlefield 1,Battlefield 1
89,Shadow Warrior 2,Shadow Warrior 2
90,Gears of War 4,Gears of War 4
91,Thumper,Thumper
94,Mafia 3,Mafia 3
103,Virginia,Virginia
105,ReCore,ReCore
108,F1 2016,F1 2016
110,World of Warcraft: Legion,World of Warcraft: Legion
114,Master of Orion,Master of Orion
119,Grow Up,Grow Up
120,Deus Ex: Mankind Divided,Deus Ex: Mankind Divided
121,No Man's Sky,No Man's Sky NEXT
129,Starbound,Starbound
131,Quadrilateral Cowboy,Quadrilateral Cowboy
132,Headlander,Headlander
135,The Technomancer,The Technomancer
136,Necropolis,Necropolis
137,Inside,Inside
138,Furi,Furi
139,Lego Star Wars: The Force Awakens,LEGO Star Wars: The Force Awakens
149,Edge of Nowhere,Edge of Nowhere
150,Mirror's Edge Catalyst,Mirror's Edge Catalyst
151,Dangerous Golf,Dangerous Golf
154,Overwatch,Overwatch
160,Total War: Warhammer,Total War: Warhammer
162,Doom,Doom
163,Homefront: The Revolution,Homefront: The Revolution
167,Battleborn,Battleborn
168,Stellaris,Stellaris
171,Offworld Trading Company,Offworld Trading Company
174,Hitman: Episode 2,Hitman 2
179,The Banner Saga 2,The Banner Saga 2
180,Eve: Valkyrie,EVE Valkyrie
181,Chronos,Chronos
186,HTC Vive,HTC Vive
188,Enter The Gungeon,Enter the Gungeon
189,Quantum Break,Quantum Break
191,Dark Souls 3,Dark Souls 3
192,Oculus Rift,Oculus Rift
193,Ashes of the Singularity,Ashes of the Singularity
196,Adr1ft,Adr1ft PC
197,Lucky's Tale,Lucky's Tale
198,Day of the Tentacle Remastered,Day of the Tentacle Remastered
202,Need For Speed,Need for Speed
206,Grim Dawn,Grim Dawn
207,Gears of War Ultimate Edition,Gears of War: Ultimate Edition
213,Far Cry Primal,Far Cry Primal
214,Stardew Valley,Stardew Valley
