ID,name,score,release_date_pc_gamer,date
0,Arcania: Gothic 4 review,76,,13 October 2010
1,Medal of Honor review,75,,12 October 2010
2,Puzzle Quest 2 review,86,,09 October 2010
3,PES 2011 PC review,74,,05 October 2010
4,Front Mission Evolved PC review,78,,05 October 2010
5,Quake Live review,88,,04 October 2010
6,Football Superstars review,58,,03 October 2010
7,FIFA 11 PC review,86,,02 October 2010
8,City of Heroes: Going Rogue review,67,,02 October 2010
9,Darksiders review,85,,01 October 2010
10,Which Team Fortress 2 items are worth your money?,0,,01 October 2010
11,Dead Rising 2 review,82,,30 September 2010
12,F1 2010 review,80,,22 September 2010
13,Sid Meier's Civilization V review,93,,20 September 2010
14,AI War review,86,,15 September 2010
15,RUSE review,84,,07 September 2010
16,Amnesia: The Dark Descent review,88,,06 September 2010
17,Elemental: War of Magic review,70,,02 September 2010
18,Need for Speed: World review,69,,01 September 2010
19,Worms Reloaded review,74,,27 August 2010
20,Mafia 2 review,78,,24 August 2010
21,Kane & Lynch 2 review,70,,17 August 2010
22,Sniper: Ghost Warrior review,69,,13 August 2010
23,Lego Harry Potter: Years 1-4 review,85,,13 August 2010
24,Max and the Magic Marker review,81,,11 August 2010
25,StarCraft 2 review,93,,11 August 2010
26,Command Ops: Battles from the Bulge review,84,,10 August 2010
27,Making History 2 review,30,,06 August 2010
28,Transformers: War for Cybertron review,78,,05 August 2010
29,iRacing review,80,,03 August 2010
30,Alien Breed: Impact review,69,,02 August 2010
31,Singularity review,68,,31 July 2010
32,Monkey Island 2: Special Edition review,90,,29 July 2010
33,ArmA 2: Operation Arrowhead review,82,,11 July 2010
34,Age of Conan: Rise of the Godslayer review,80,,10 July 2010
35,Blur review,78,,09 July 2010
36,Ghost Pirates of Vooju Island review,47,,07 July 2010
37,APB review,55,,02 July 2010
38,SBK X review,60,,29 June 2010
39,The Misadventures of P.B. Winterbottom review,80,,28 June 2010
40,Prince of Persia: The Forgotten Sands review,74,,27 June 2010
41,Lord of Ultima review,75,,25 June 2010
42,Splinter Cell: Conviction versus mode tested,0,,25 June 2010
43,The Sims 3: Ambitions review,85,,25 June 2010
44,Serious Sam HD: The Second Encounter review,70,,24 June 2010
45,Alpha Protocol review,81,,10 June 2010
46,GTA: Episodes from Liberty City review,89,,10 June 2010
47,Split/Second: Velocity review,73,,10 June 2010
48,Runes of Magic review,48,,07 June 2010
49,Heroes of Newerth review,71,,04 June 2010
50,Acer TravelMate 5720,80,,10 March 2010
51,AVADirect Custom PC,60,,01 December 2009
52,Crusader Kings 3 review,94,,31 August 2020
53,Iron Harvest review,82,,31 August 2020
54,Asus Maximus XII Apex gaming motherboard review,93,,27 August 2020
55,Wasteland 3 review,84,,26 August 2020
56,No Straight Roads review,78,,25 August 2020
57,Maingear Turbo gaming PC review,91,,24 August 2020
58,Factorio review,91,,24 August 2020
59,Team Xtreem ARGB DDR4-3600 C14 gaming memory review,90,,24 August 2020
60,Microsoft Flight Simulator review,89,,20 August 2020
61,Lian Li UNI FAN SL120 review,80,,20 August 2020
62,EK-Fluid Gaming PC 250 Conquest review,89,,20 August 2020
63,Logitech G Pro X Wireless gaming headset review,68,,20 August 2020
64,Spiritfarer review,85,,18 August 2020
65,Mortal Shell review,80,,17 August 2020
66,ASRock B550 Taichi gaming motherboard review,84,,17 August 2020
67,Razer Huntsman Mini gaming keyboard review,80,,12 August 2020
68,G.Skill Trident Z Royal DDR4-4000 gaming memory review,95,,12 August 2020
69,A Total War Saga: Troy review,75,,12 August 2020
70,Risk of Rain 2 review,84,,11 August 2020
71,LG OLED48CX TV review,89,,11 August 2020
72,Fall Guys: Ultimate Knockout review,80,,07 August 2020
73,Audeze Mobius gaming headset review,77,,06 August 2020
74,Horizon Zero Dawn review,86,,06 August 2020
75,Paper Beast review,70,,05 August 2020
76,Fanatec CSL Elite racing wheel review,90,,05 August 2020
77,Kingston KC2500 1TB NVMe SSD review,74,,04 August 2020
0,Hitman Episode 6 review,85,,09 November 2016
1,Football Manager 2017 review,85,,04 November 2016
2,GeForce GTX 1050 Ti review,84,,03 November 2016
3,GeForce GTX 1050 review,80,,03 November 2016
4,Das Keyboard 4 Professional mechanical keyboard review,90,,02 November 2016
5,Clockwork Empires review,50,,02 November 2016
6,Titanfall 2 review,91,,31 October 2016
7,Dark Souls 3: Ashes of Ariandel review,70,,26 October 2016
8,Sunless Sea: Zubmariner review,90,,25 October 2016
9,Battlefield 1 review,89,,21 October 2016
10,Civilization 6 review,93,,20 October 2016
11,Shadow Warrior 2 review,78,,14 October 2016
12,Gears of War 4 review,75,,13 October 2016
13,Thumper review,82,,13 October 2016
14,FIFA 17 review,83,,12 October 2016
15,The Silver Case review,50,,12 October 2016
16,Mafia 3 review,54,,11 October 2016
17,Slayer Shock review,55,,06 October 2016
18,Deus Ex: System Rift review,70,,03 October 2016
19,Hitman: Episode 5 review,75,,29 September 2016
20,Fractured Space review,82,,27 September 2016
21,Pro Evolution Soccer 2017 review,71,,27 September 2016
22,Forza Horizon 3 review,92,,26 September 2016
23,Event[0] review,74,,26 September 2016
24,MSI GS73VR review—GTX 1060 goes mobile,90,,22 September 2016
25,Virginia review,72,,22 September 2016
26,Redout review,67,,15 September 2016
27,ReCore review,45,,14 September 2016
28,Mother Russia Bleeds review,54,,12 September 2016
29,Intel Core i7-6950X Review,85,,07 September 2016
30,F1 2016 review,87,,07 September 2016
31,Intel Core i7-6900K Review,78,,06 September 2016
