ID,name,steam_name
2,Puzzle Quest 2,Puzzle Quest 2
4,Front Mission Evolved PC,Front Mission Evolved
5,Quake Live,Quake Live
6,Football Superstars,Football Superstars
8,City of Heroes: Going Rogue,City of Heroes: Going Rogue 
9,Darksiders,Darksiders
11,Dead Rising 2,Dead Rising 2
13,Sid Meier's Civilization V,Sid Meier's Civilization V
16,Amnesia: The Dark Descent,Amnesia: The Dark Descent
19,Worms Reloaded,Worms Reloaded
22,Sniper: Ghost Warrior,Sniper: Ghost Warrior
23,Lego Harry Potter: Years 1-4,LEGO Harry Potter: Years 1-4
24,Max and the Magic Marker,Max and the Magic Marker
29,iRacing,iRacing
30,Alien Breed: Impact,Alien Breed: Impact
31,Singularity,Singularity
32,Monkey Island 2: Special Edition,Monkey Island 2: Special Edition
33,ArmA 2: Operation Arrowhead,Arma 2: Operation Arrowhead
34,Age of Conan: Rise of the Godslayer,Age of Conan: Rise of the Godslayer
35,Blur,Blur
36,Ghost Pirates of Vooju Island,Ghost Pirates of Vooju Island
39,The Misadventures of P.B. Winterbottom,The Misadventures of P.B. Winterbottom
40,Prince of Persia: The Forgotten Sands,Prince of Persia Forgotten Sands
44,Serious Sam HD: The Second Encounter,Serious Sam HD: The Second Encounter
45,Alpha Protocol,Alpha Protocol
48,Runes of Magic,Runes of Magic
53,Iron Harvest,Iron Harvest
55,Wasteland 3,Wasteland 3
58,Factorio,Factorio
60,Microsoft Flight Simulator,Microsoft Flight Simulator
64,Spiritfarer,Spiritfarer
65,Mortal Shell,Mortal Shell
70,Risk of Rain 2,Risk of Rain 2
72,Fall Guys: Ultimate Knockout,Fall Guys: Ultimate Knockout
74,Horizon Zero Dawn,Horizon Zero Dawn
75,Paper Beast,Paper Beast
83,Clockwork Empires,Clockwork Empires
84,Titanfall 2,Titanfall 2
86,Sunless Sea: Zubmariner,Sunless Sea - Zubmariner
87,Battlefield 1,Battlefield 1 
89,Shadow Warrior 2,Shadow Warrior 2
91,Thumper,Thumper
93,The Silver Case,The Silver Case
95,Slayer Shock,Slayer Shock
98,Fractured Space,Fractured Space
101,Event[0],Event[0]
103,Virginia,Virginia
106,Mother Russia Bleeds,Mother Russia Bleeds
108,F1 2016,F1 2016
112,Obduction,Obduction
113,Fallout 4: Nuka-World,Fallout 4 - Nuka-World
114,Master of Orion,Master of Orion
115,N++,N++
119,Grow Up,Grow Up
120,Deus Ex: Mankind Divided,Deus Ex: Mankind Divided
121,No Man's Sky,No Man's Sky
124,This Is The Police,This Is the Police
125,Total War: Warhammer - Call of the Beastmen,Total War: WARHAMMER - Call of the Beastmen
128,Overcooked,Overcooked
129,Starbound,Starbound
130,Earth Defense Force 4.1: The Shadow of New Despair,EARTH DEFENSE FORCE 4.1  The Shadow of New Despair
131,Quadrilateral Cowboy,Quadrilateral Cowboy
132,Headlander,Headlander
133,Lovely Planet Arcade,Lovely Planet Arcade
134,I am Setsuna,I am Setsuna
135,The Technomancer,The Technomancer
136,Necropolis,Necropolis
137,Inside,Inside Me
138,Furi,Furi
139,Lego Star Wars: The Force Awakens,LEGO STAR WARS: The Force Awakens
143,Mighty No. 9,Mighty No. 9
144,Trials of the Blood Dragon,Trials of the Blood Dragon
146,Captain Forever Remix,Captain Forever Remix
147,Sherlock Holmes: The Devil's Daughter,Sherlock Holmes: The Devil's Daughter
150,Mirror's Edge Catalyst,Mirror's Edge Catalyst
151,Dangerous Golf,Dangerous Golf
155,Shadwen,Shadwen
157,Lumo,Lumo
158,Duskers,Duskers
159,Fallout 4: Far Harbor,Fallout 4 - Far Harbor
160,Total War: Warhammer,Total War: WARHAMMER
161,Final Fantasy X/X-2 HD Remaster,FINAL FANTASY X/X-2 HD Remaster
162,Doom,DOOM
163,Homefront: The Revolution,Homefront: The Revolution
167,Battleborn,Battleborn
168,Stellaris,Stellaris
171,Offworld Trading Company,Offworld Trading Company
174,Hitman: Episode 2,HITMAN 2
177,Battlefleet Gothic: Armada,Battlefleet Gothic: Armada
179,The Banner Saga 2,The Banner Saga 2
180,Eve: Valkyrie,EVE: Valkyrie
182,Everybody's Gone to the Rapture,Everybody's Gone to the Rapture
183,Baldur's Gate: Siege of Dragonspear,Baldur's Gate: Siege of Dragonspear
185,Job Simulator,Job Simulator
187,Hover Junkers,Hover Junkers
188,Enter The Gungeon,Enter the Gungeon
189,Quantum Break,Quantum Break
