ID,name,website
0,"
Immortals Fenyx Rising review
",https://www.pcgamer.com/immortals-fenyx-rising-review/
1,"
Empire of Sin review
",https://www.pcgamer.com/empire-of-sin-review/
2,"
Wingspan review
",https://www.pcgamer.com/wingspan-review/
3,"
Destiny 2: Beyond Light review
",https://www.pcgamer.com/destiny-2-beyond-light-review/
4,"
The Pathless review
",https://www.pcgamer.com/the-pathless-review/
5,"
Football Manager 2021 review
",https://www.pcgamer.com/football-manager-2021-review/
6,"
Ghostrunner review
",https://www.pcgamer.com/ghostrunner-review/
7,"
Gigabyte Aorus 5 gaming laptop review
",https://www.pcgamer.com/gigabyte-aorus-5-sb-gaming-laptop-performance-benchmarks/
8,"
AMD Ryzen 9 5950X review
",https://www.pcgamer.com/amd-ryzen-9-5950x-review-benchmarks-performance/
9,"
AMD RX 6800 review
",https://www.pcgamer.com/amd-rx-6800-review-radeon-benchmarks/
10,"
AMD RX 6800 XT review
",https://www.pcgamer.com/amd-rx-6800-xt-review-benchmarks-performance/
11,"
Godfall review
",https://www.pcgamer.com/godfall-review/
12,"
DXRacer Master gaming chair review
",https://www.pcgamer.com/dxracer-master-review-gaming-chair/
13,"
Möbius Front '83 review
",https://www.pcgamer.com/mobius-front-83-review/
14,"
Call of Duty: Black Ops - Cold War review
",https://www.pcgamer.com/call-of-duty-black-ops-cold-war-review/
15,"
Razer Seiren Mini microphone review
",https://www.pcgamer.com/razer-seiren-mini-microphone-review/
16,"
Steelseries Arctis 7X review
",https://www.pcgamer.com/steelseries-arctis-7x-review/
17,"
Samsung Odyssey G7 C27G7 review
",https://www.pcgamer.com/Samsung-Odyssey-G7-C27G7-monitor-review/
18,"
Fuser review
",https://www.pcgamer.com/fuser-review/
19,"
AMD Ryzen 5 5600X review
",https://www.pcgamer.com/amd-ryzen-5-5600x-review-benchmarks/
20,"
Bugsnax review
",https://www.pcgamer.com/bugsnax-review/
21,"
Assassin's Creed Valhalla review
",https://www.pcgamer.com/assassins-creed-valhalla-review/
22,"
AMD Ryzen 7 5800X review
",https://www.pcgamer.com/amd-ryzen-7-5800x-review-benchmarks-performance/
23,"
The Falconeer review
",https://www.pcgamer.com/the-falconeer-review/
24,"
AMD Ryzen 9 5900X review
",https://www.pcgamer.com/amd-ryzen-9-5900x-review-benchmarks-performance/
25,"
LG UltraGear 27GN950 gaming monitor review
",https://www.pcgamer.com/lg-ultragear-27gn950-gaming-monitor-review/
26,"
HyperX SoloCast microphone review
",https://www.pcgamer.com/hyperx-solocast-review-microphone-streaming-gaming/
27,"
Yakuza: Like a Dragon review
",https://www.pcgamer.com/yakuza-like-a-dragon-review/
28,"
Glorious Modular Mechanical Keyboard (GMMK) review
",https://www.pcgamer.com/glorious-modular-mechanical-gaming-keyboard-gmmk-review-performance/
29,"
Corsair HS60 Haptic gaming headset review
",https://www.pcgamer.com/corsair-hs60-haptic-gaming-headset-review/
30,"
Dirt 5 review
",https://www.pcgamer.com/dirt-5-review/
31,"
Shure MV7 Podcast microphone review
",https://www.pcgamer.com/shure-mv7-podcast-microphone-review/
32,"
Little Hope review
",https://www.pcgamer.com/little-hope-review/
33,"
Asus TUF RTX 3070 OC review
",https://www.pcgamer.com/asus-tuf-rtx-3070-oc-review-benchmarks/
34,"
Watch Dogs Legion review
",https://www.pcgamer.com/watch-dogs-legion-review/
35,"
Acer Predator Helios 300 gaming laptop review
",https://www.pcgamer.com/acer-predator-helios-300-review-gaming-laptop-2020/
36,"
Nvidia RTX 3070 review Founders Edition
",https://www.pcgamer.com/nvidia-rtx-3070-review-founders-edition-benchmarks/
37,"
Cooler Master Ergo L gaming chair review
",https://www.pcgamer.com/cooler-master-ergo-l-ergonomic-gaming-chair-review/
38,"
Doom Eternal: The Ancient Gods – Part One review
",https://www.pcgamer.com/doom-eternal-the-ancient-gods-part-one-review/
39,"
Squad review
",https://www.pcgamer.com/squad-review/
40,"
Glorious Model O Gaming Mouse Review
",https://www.pcgamer.com/glorious-model-o-lightweight-gaming-mouse-review/
41,"
Logitech G733 Lightspeed Wireless RGB gaming headset review
",https://www.pcgamer.com/logitech-g733-lightspeed-wireless-rgb-gaming-headset-review/
42,"
AOC C27G2 gaming monitor review
",https://www.pcgamer.com/aoc-c27g2-gaming-monitor-review/
43,"
Torchlight 3 review
",https://www.pcgamer.com/torchlight-3-review/
44,"
Disc Room review
",https://www.pcgamer.com/disc-room-review/
45,"
WD Black AN1500 2TB NVMe SSD AIC review
",https://www.pcgamer.com/wd-black-an1500-2tb-ssd-review-benchmarks/
46,"
Cook, Serve, Delicious 3?! review
",https://www.pcgamer.com/cook-serve-delicious-3-review/
47,"
Amnesia: Rebirth review
",https://www.pcgamer.com/amnesia-rebirth-review/
48,"
Asus TUF A520M-Plus gaming motherboard review
",https://www.pcgamer.com/asus-tuf-gaming-a520m-plus-review-amd-gaming-motherboard/
49,"
Genshin Impact review
",https://www.pcgamer.com/genshin-impact-review/
50,"
Astro A20 wireless gaming headset review
",https://www.pcgamer.com/astro-a20-wireless-gaming-headset-review/
51,"
ASRock A520M ITX/ac gaming motherboard review
",https://www.pcgamer.com/asrock-a520m-itx-ac-review-amd-gaming-motherboard/
52,"
Gigabyte G27Q Gaming Monitor review
",https://www.pcgamer.com/gigabyte-g27q-gaming-monitor-review/
53,"
Gigabyte A520 Aorus Elite motherboard review
",https://www.pcgamer.com/gigabyte-a520-aorus-elite-review-amd-gaming-motherboard/
54,"
Oculus Quest 2 review
",https://www.pcgamer.com/oculus-quest-2-vr-headset-review-performance/
55,"
Age of Empires 3: Definitive Edition review
",https://www.pcgamer.com/age-of-empires-3-definitive-edition-review/
56,"
FIFA 21 review
",https://www.pcgamer.com/fifa-21-review/
57,"
Origin Millennium gaming PC review
",https://www.pcgamer.com/origin-millennium-gaming-pc-review/
58,"
Noita review
",https://www.pcgamer.com/noita-review/
59,"
Partisans 1941 review
",https://www.pcgamer.com/partisans-1941-review/
60,"
MSI MEG Z490i Unify ITX motherboard review
",https://www.pcgamer.com/msi-meg-z490i-unify-itx-motherboard-review/
61,"
Dell XPS Desktop review
",https://www.pcgamer.com/dell-xps-desktop-2020-gaming-pc-review-benchmarks/
62,"
NZXT N7 Z490 motherboard review
",https://www.pcgamer.com/nzxt-n7-z490-motherboard-review/
63,"
MSI GeForce RTX 3080 Gaming X Trio 10G review
",https://www.pcgamer.com/msi-geforce-rtx-3080-gaming-x-trio-10g-review-benchmarks/
64,"
Star Wars: Squadrons review
",https://www.pcgamer.com/star-wars-squadrons-review/
65,"
Roccat Elo 7.1 Air (Wireless headset) review
",https://www.pcgamer.com/roccat-elo-air-review/
66,"
Palit GeForce RTX 3080 GamingPro OC review
",https://www.pcgamer.com/palit-geforce-rtx-gamingpro-oc-review/
67,"
HyperX Quadcast S microphone review
",https://www.pcgamer.com/hyperx-quadcast-s-microphone-review/
68,"
Fnatic Ministreak Keyboard review
",https://www.pcgamer.com/fnatic-ministreak-speed-switch-gaming-keyboard-review/
69,"
Noblechairs Hero Gaming Chair Doom Edition review
",https://www.pcgamer.com/noblechairs-hero-doom-edition-gaming-chair-review/
70,"
Corsair K100 RGB Optical-Mechanical Gaming Keyboard review
",https://www.pcgamer.com/corsair-k100-gaming-keyboard-review/
71,"
Spelunky 2 review
",https://www.pcgamer.com/spelunky-2-review/
72,"
iBuyPower Gaming RDY Element CL Plus review
",https://www.pcgamer.com/ibuypower-gaming-rdy-element-cl-plus-review/
73,"
Gigabyte Aorus 17X Gaming Laptop review
",https://www.pcgamer.com/aorus-17X-YB-review/
74,"
Mafia: Definitive Edition review
",https://www.pcgamer.com/mafia-definitive-edition-review/
75,"
Serious Sam 4 review
",https://www.pcgamer.com/serious-sam-4-review/
76,"
Nvidia RTX 3090 Founders Edition review
",https://www.pcgamer.com/nvidia-rtx-3090-review-founders-edition-benchmarks/
77,"
Samsung 980 Pro 500GB SSD review
",https://www.pcgamer.com/samsung-980-pro-500gb-ssd-review/
78,"
Pendragon review
",https://www.pcgamer.com/pendragon-review/
79,"
Asus TUF Gaming RTX 3080 OC review
",https://www.pcgamer.com/asus-tuf-gaming-rtx-3080-oc-edition/
80,"
Surgeon Simulator 2 review
",https://www.pcgamer.com/surgeon-simulator-2-review/
81,"
BPM: Bullets Per Minute review
",https://www.pcgamer.com/bpm-bullets-per-minute-review/
82,"
Hades review
",https://www.pcgamer.com/hades-review/
83,"
Star Renegades review
",https://www.pcgamer.com/star-renegades-review/
84,"
Nvidia RTX 3080 Founders Edition review
",https://www.pcgamer.com/nvidia-rtx-3080-review-founders-edition-benchmarks/
