review_score,review_score_desc,total_positive,total_negative,appid,name,ign_score,ign_release_data,ign_comments,pc_gamer_score,pc_gamer_release_data
9,Overwhelmingly Positive,109681,3088,220,Half-Life 2,9.7,2004-11-16,4,96,2014-07-07
8,Very Positive,1197615,219240,570,Dota 2,9.4,2013-07-25,1573,92,2018-05-24
9,Overwhelmingly Positive,219827,2740,620,Portal 2,9.5,2011-04-19,4,94,2011-04-19
5,Mixed,2987,4081,2870,X Rebirth,4.3,2013-12-03,1,39,2014-02-20
6,Mostly Positive,15987,4878,8500,EVE Online,8.0,2003-06-24,1,85,2018-05-31
8,Very Positive,6221,692,12140,Max Payne,9.3,2001-07-28,0,90,2014-06-01
8,Very Positive,2833,633,12750,GRID,8.0,2019-10-08,39,68,2019-10-16
7,Positive,18,0,20590,League of Legends,9.2,2014-02-14,684,82,2018-05-30
8,Very Positive,2866,270,22230,Rock of Ages,7.5,2011-09-20,0,75,2011-11-20
5,Mixed,12946,6484,24010,Train Simulator,8.0,2001-06-21,0,63,2013-12-23
6,Mostly Positive,4414,1442,25000,Overgrowth,5.7,2017-10-25,40,72,2017-10-16
9,Overwhelmingly Positive,6370,46,28050,Deus Ex: Human Revolution,9.0,2011-08-24,0,94,2011-08-22
8,Very Positive,26263,1417,40800,Super Meat Boy,9.0,2010-12-02,86,90,2010-12-10
0,No user reviews,0,0,40809,Super Meat Boy,9.0,2010-12-02,86,90,2010-12-10
8,Very Positive,10018,534,43160,Metro: Last Light,7.7,2013-05-15,593,80,2013-05-13
8,Very Positive,21689,4387,44350,GRID 2,8.0,2013-05-28,365,82,2013-07-08
8,Very Positive,9628,1215,45760,Ultra Street Fighter IV,9.0,2014-06-03,4,86,2014-08-13
8,Very Positive,34898,2339,48000,LIMBO,9.0,2011-08-03,0,92,2011-09-25
9,Overwhelmingly Positive,55597,2314,55230,Saints Row: The Third,8.5,2011-11-11,1,83,2011-11-11
5,Mixed,7474,3219,65930,The Bureau: XCOM Declassified,5.5,2013-08-20,2,62,2013-08-29
5,Mixed,11256,8551,65980,Sid Meier's Civilization: Beyond Earth,7.9,2014-10-23,0,87,2014-10-23
8,Very Positive,921,184,72740,Fallout New Vegas: Honest Hearts,7.5,2011-05-19,0,66,2011-06-25
8,Very Positive,911,181,93200,Revenge of the Titans,7.0,2011-05-26,0,77,2011-05-05
8,Very Positive,6071,763,94400,Nidhogg,9.0,2014-01-16,1,93,2014-01-20
6,Mostly Positive,3016,794,99810,Bulletstorm,8.0,2011-02-23,2,80,2011-02-22
